INFO 2025-12-16 10:10:55,428 autoreload Watching for file changes with StatReloader
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\management\commands\migrate.py first seen with mtime 1759405065.6975014
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\__init__.py first seen with mtime 1759405057.4494016
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\management\__init__.py first seen with mtime 1759405065.663488
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\text.py first seen with mtime 1759405066.3218472
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\encodings\cp1252.py first seen with mtime 1727744620.0
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\backends\base\validation.py first seen with mtime 1759405065.7680123
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\files\storage\__init__.py first seen with mtime 1759405065.6274946
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\hashable.py first seen with mtime 1759405066.3001666
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\regex_helper.py first seen with mtime 1759405066.3168485
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\signals.py first seen with mtime 1759405065.5578527
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\messages\storage\base.py first seen with mtime 1759405063.2038395
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\wsgiref\headers.py first seen with mtime 1727744620.0
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\auth\management\__init__.py first seen with mtime 1759405060.8487957
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\views\generic\base.py first seen with mtime 1759405066.3705373
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\deconstruct.py first seen with mtime 1759405066.2870739
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\importlib\__init__.py first seen with mtime 1727744620.0
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\socket.py first seen with mtime 1727744620.0
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\files\images.py first seen with mtime 1759405065.6154985
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\fields\reverse_related.py first seen with mtime 1759405065.9225
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\magazin_muzica\Magazin_de_muzica\forms.py first seen with mtime 1765452412.9909146
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\template\loaders\cached.py first seen with mtime 1759405066.2130084
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\shutil.py first seen with mtime 1727744620.0
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\asyncio\runners.py first seen with mtime 1727744620.0
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\fields\files.py first seen with mtime 1759405065.9104843
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\sqlparse\tokens.py first seen with mtime 1759405056.126464
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\fields\__init__.py first seen with mtime 1759405065.9078987
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\asyncio\base_events.py first seen with mtime 1727744620.0
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\migrations\operations\models.py first seen with mtime 1759405065.8718085
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\email\mime\message.py first seen with mtime 1727744620.0
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\ctypes\_endian.py first seen with mtime 1727744620.0
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\fields\mixins.py first seen with mtime 1759405065.9165006
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\concurrent\__init__.py first seen with mtime 1727744620.0
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\admin\__init__.py first seen with mtime 1759405058.4744515
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\calendar.py first seen with mtime 1727744620.0
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\migrations\optimizer.py first seen with mtime 1759405065.8558056
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\indexes.py first seen with mtime 1759405065.8908112
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\template\base.py first seen with mtime 1759405066.174317
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\email\header.py first seen with mtime 1727744620.0
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\asgiref\__init__.py first seen with mtime 1759405056.9876094
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\lzma.py first seen with mtime 1727744620.0
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\DLLs\_hashlib.pyd first seen with mtime 1727744672.0
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\backends\base\operations.py first seen with mtime 1759405065.7649605
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\fields\proxy.py first seen with mtime 1759405065.9174998
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\_os.py first seen with mtime 1759405066.2651045
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\inspect.py first seen with mtime 1727744620.0
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\handlers\wsgi.py first seen with mtime 1759405065.643484
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\magazin_muzica\Magazin_de_muzica\urls.py first seen with mtime 1765366727.0600128
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\backends\utils.py first seen with mtime 1759405065.7520902
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\middleware\csrf.py first seen with mtime 1759405066.160316
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\linecache.py first seen with mtime 1727744620.0
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\threading.py first seen with mtime 1727744620.0
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\collections\abc.py first seen with mtime 1727744620.0
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\sites\checks.py first seen with mtime 1759405065.0190606
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\html.py first seen with mtime 1759405066.3011632
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\DLLs\_wmi.pyd first seen with mtime 1727744672.0
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\asyncio\streams.py first seen with mtime 1727744620.0
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\pathlib.py first seen with mtime 1727744620.0
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\sql\constants.py first seen with mtime 1759405065.9448075
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\autoreload.py first seen with mtime 1759405066.2701032
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\types.py first seen with mtime 1727744620.0
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\random.py first seen with mtime 1727744620.0
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\template\utils.py first seen with mtime 1759405066.1964157
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\auth\password_validation.py first seen with mtime 1759405060.3078125
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\safestring.py first seen with mtime 1759405066.3178532
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\admin\views\__init__.py first seen with mtime 1759405059.7513156
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\mail\__init__.py first seen with mtime 1759405065.6464882
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\files\temp.py first seen with mtime 1759405065.6204863
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\contextlib.py first seen with mtime 1727744620.0
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\fields\composite.py first seen with mtime 1759405065.9089015
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\fields\related_lookups.py first seen with mtime 1759405065.921497
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\migrations\utils.py first seen with mtime 1759405065.8638093
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\magazin_muzica\Magazin_de_muzica\apps.py first seen with mtime 1759420731.7397099
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\views\__init__.py first seen with mtime 1759405066.3405242
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\ipv6.py first seen with mtime 1759405066.306165
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\functions\mixins.py first seen with mtime 1759405065.9338253
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\files\__init__.py first seen with mtime 1759405065.612494
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\contenttypes\apps.py first seen with mtime 1759405060.8857825
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\serializers\python.py first seen with mtime 1759405065.7309637
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\re\__init__.py first seen with mtime 1727744620.0
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\views\defaults.py first seen with mtime 1759405066.34654
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\bz2.py first seen with mtime 1727744620.0
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\serializers\json.py first seen with mtime 1759405065.7280195
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\sitemaps\__init__.py first seen with mtime 1759405065.00646
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\migrations\operations\special.py first seen with mtime 1759405065.873809
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\queue.py first seen with mtime 1727744620.0
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\typing.py first seen with mtime 1727744620.0
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\email\headerregistry.py first seen with mtime 1727744620.0
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\cache\__init__.py first seen with mtime 1759405065.5659251
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\email\errors.py first seen with mtime 1727744620.0
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\urllib\error.py first seen with mtime 1727744620.0
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\copyreg.py first seen with mtime 1727744620.0
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\files\storage\handler.py first seen with mtime 1759405065.6324856
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\files\uploadhandler.py first seen with mtime 1759405065.623413
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\contenttypes\__init__.py first seen with mtime 1759405060.8817854
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\magazin_muzica\magazin_muzica\settings.py first seen with mtime 1765872651.4444718
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\concurrent\futures\_base.py first seen with mtime 1727744620.0
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\wsgiref\util.py first seen with mtime 1727744620.0
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\management\sql.py first seen with mtime 1759405065.6694975
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\checks\security\sessions.py first seen with mtime 1759405065.6100025
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\psycopg2\errors.py first seen with mtime 1760595286.1952915
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\ctypes\__init__.py first seen with mtime 1727744620.0
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\sitemaps\apps.py first seen with mtime 1759405065.0074546
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\functions\math.py first seen with mtime 1759405065.932824
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\templatetags\i18n.py first seen with mtime 1759405066.2220774
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\backends\base\introspection.py first seen with mtime 1759405065.7629602
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\heapq.py first seen with mtime 1727744620.0
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\urllib\parse.py first seen with mtime 1727744620.0
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\argparse.py first seen with mtime 1727744620.0
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\sqlparse\utils.py first seen with mtime 1759405056.1274612
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\textwrap.py first seen with mtime 1727744620.0
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\html\entities.py first seen with mtime 1727744620.0
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\urls\base.py first seen with mtime 1759405066.2510767
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\DLLs\_queue.pyd first seen with mtime 1727744672.0
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\_weakrefset.py first seen with mtime 1727744620.0
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\handlers\exception.py first seen with mtime 1759405065.6424913
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\psycopg2\_range.py first seen with mtime 1760595286.2169356
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\encoding.py first seen with mtime 1759405066.2930787
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\selectors.py first seen with mtime 1727744620.0
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\contenttypes\admin.py first seen with mtime 1759405060.8837814
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\asyncio\staggered.py first seen with mtime 1727744620.0
